province,Car (driver),Car (passenger),Moped,Train,Bus/tram/metro,Bicycle,Walking,Other
Netherlands,19.97,8.48,0.52,4.72,3.06,12.28,9.2,1.66
Drenthe,18.46,8.36,0,0,0,15.87,7.43,0
Flevoland,19.53,8.71,0,0,0,12.35,10.06,0
Friesland,24.34,9.54,0,0,0,13.12,7.72,0
Gelderland,18.78,8.14,0,3.51,0,13.31,7.86,1.69
Groningen,22.46,11.41,0,0,0,7.49,9.8,0
Limburg,20.9,8.72,0,4.87,1.69,12.28,8.59,1.75
Noord-Brabant,20.45,9.15,0,6.47,2.82,12.67,9.52,0
Noord-Holland,18.12,8.17,0.86,6.12,5.1,13.72,9.18,1.71
Overijssel,19.39,8.16,0.48,4.47,4.95,11.95,9.84,1.6
Utrecht,18.79,8.08,0,0,0,12.62,10.29,0
Zeeland,21.61,8.67,0,4.04,1.8,11.71,8.8,1.88
Zuid-Holland,20.45,7.58,0,3.97,0,8.85,10.62,0
